term,var_type_abb,coverage,avg_width,std.error.avg_width,std.error.coverage,B
(Intercept),lm,0.9055655172413793,8.610469134465784,6.958755595380176e-4,7.679673170063151e-4,NA
(Intercept),sand,0.9476275862068966,10.019601170985494,0.0013468452018601516,5.850428003303551e-4,NA
x,lm,0.8924551724137931,1.4918453583848477,9.813207168953136e-5,8.135897448491317e-4,NA
x,sand,0.9486896551724138,1.810932414990935,2.0148037324515695e-4,5.794047424080488e-4,NA
(Intercept),emp,0.8488,9.259240221520262,0.05605447319837143,0.005066837926094919,4
(Intercept),sub,0.8372,8.851323661113792,0.055894605093956606,0.005221559626872741,4
(Intercept),emp,0.8944,9.496678896342319,0.04491946318814539,0.00434666615940772,6
(Intercept),sub,0.8832,9.15637374659013,0.04381850310689861,0.004542651113152667,6
(Intercept),emp,0.9102,9.734952773301876,0.038252830930820964,0.0040435704633922835,8
(Intercept),sub,0.8968,9.33568092706152,0.0378568058842657,0.004302749670959977,8
(Intercept),emp,0.914,9.779232378357454,0.033887981039194874,0.0039653429598154296,10
(Intercept),sub,0.9064,9.423123576308077,0.034025226709132814,0.004119611904105542,10
(Intercept),emp,0.9242,9.871277431740324,0.03129298142545463,0.003743484304087168,12
(Intercept),sub,0.9156,9.449661309714996,0.03116525986415752,0.003931719685320507,12
(Intercept),emp,0.93,9.949048212284872,0.02869126055409123,0.0036086845970386746,14
(Intercept),sub,0.9148,9.453883579230808,0.02875651884303012,0.003948583323427835,14
(Intercept),emp,0.9292,9.877655906444248,0.02719368717667778,0.003627685766546513,16
(Intercept),sub,0.914,9.531054882660142,0.027246409651306376,0.0039653429598154296,16
(Intercept),emp,0.932,9.885996004059011,0.025361221121918028,0.0035605807878925345,18
(Intercept),sub,0.9148,9.479603434761868,0.025551982099806823,0.003948583323427835,18
(Intercept),emp,0.9332,9.940002751453626,0.024045376368140515,0.0035312952311017326,20
(Intercept),sub,0.9222,9.571402106286557,0.024280963708263603,0.00378844327666287,20
(Intercept),emp,0.9394,9.925361121545583,0.023352996824812584,0.0033745822794995265,22
(Intercept),sub,0.9238,9.507262261420426,0.023600457029854697,0.003752536249746447,22
(Intercept),emp,0.931,9.949155554231998,0.022201291450387496,0.0035847412841117,24
(Intercept),sub,0.9222,9.573465791429829,0.022517939128313975,0.00378844327666287,24
(Intercept),emp,0.939,9.94949974584355,0.02162476093165658,0.0033849802980702357,26
(Intercept),sub,0.9274,9.572786475181543,0.02154588673617414,0.0036699511860979386,26
(Intercept),emp,0.9372,9.995793262815042,0.020816096810158318,0.0034312660516700637,28
(Intercept),sub,0.9308,9.600615567814602,0.020683861649527083,0.003589547181719995,28
(Intercept),emp,0.9396,9.94445319070952,0.02039907450220727,0.003369367674758209,30
(Intercept),sub,0.9286,9.612772691331093,0.0201353493428198,0.0036418485158120494,30
